"time" "V" "Vadj" "D" "rho" "H" "I" "normPW"
"2009-05-03 17:20:00" 10.8 10.8652361597796 304.2106509 1.26589603583127 74.8215878 0.101851851851852 64.3366666666667
"2009-02-08 02:10:00" 9 9.02603462534253 308.0353912 1.25405115565109 74.94417906 0.0888888888888889 45.4833333333333
"2009-05-03 16:40:00" 10.5 10.5629083944261 304.3478004 1.26571066208036 74.64504182 0.0952380952380952 62.28
"2009-05-03 18:10:00" 10.2 10.2595393710999 305.1673899 1.26512916433661 70.34602583 0.0980392156862745 58.45
"2009-03-12 20:50:00" 10.9 10.9396157188163 287.1122446 1.25683568024769 72.3096633 0.091743119266055 72.1933333333333
"2009-03-14 17:30:00" 10.1 10.1389078275345 269.4844999 1.25765406481295 74.72518146 0.118811881188119 60.9866666666667
"2009-03-14 22:10:00" 12.6 12.6667599803845 291.5615944 1.2630972334122 75.63290715 0.119047619047619 90.2733333333333
"2009-03-14 20:30:00" 11.2 11.2499334016892 281.7591516 1.25993337941726 74.45579946 0.0982142857142857 76.4333333333333
"2009-03-12 23:30:00" 9.5 9.54637472913384 295.3121715 1.26152660335573 74.31277454 0.0842105263157895 56.4366666666667
"2009-02-08 02:30:00" 9.2 9.22633470111821 305.059646 1.25393761228389 77.39818096 0.0978260869565217 48.0566666666667
"2009-01-02 11:30:00" 9.8 9.95758732871375 64.5442911 1.30417520762018 81.62578464 0.112244897959184 58.98
"2009-02-27 21:00:00" 8.9 8.93404394331193 277.9913187 1.25755222024274 90.54794669 0.0898876404494382 47.17
"2009-02-07 21:20:00" 8.7 8.72479335998357 288.3655107 1.25389013919457 85.00040889 0.0919540229885058 42.2733333333333
"2009-02-07 17:30:00" 8 8.02177481808274 305.1295648 1.25341022780812 81.51211977 0.0875 30.1733333333333
"2009-03-12 17:10:00" 9.1 9.13170658289362 271.2125304 1.25627137370282 88.56486917 0.0989010989010989 50.1666666666667
"2009-03-12 18:20:00" 11.4 11.4382061474699 268.6142446 1.25577259100475 83.72054219 0.140350877192982 73.4233333333333
"2009-02-08 01:50:00" 9.3 9.32814224941343 306.452932 1.25455131635057 78.52946997 0.0860215053763441 50.5966666666667
"2009-02-08 01:20:00" 9.4 9.42750682593713 302.9128372 1.25417691073262 79.39415336 0.0957446808510638 52.0866666666667
"2009-03-12 18:10:00" 8.6 8.6286808483055 270.929618 1.25571088640133 83.55609536 0.104651162790698 46.4266666666667
"2009-02-28 00:40:00" 6.7 6.72416907891114 291.1268727 1.25673370546774 89.51366067 0.119402985074627 21.2966666666667
"2009-10-27 03:40:00" 4.3 4.30649535349543 302.2084353 1.24887329073668 91.03295565 0.0930232558139535 4.34666666666667
"2009-05-07 12:20:00" 10.8 10.8071639023104 225.7243107 1.2457065360659 88.6763525 0.111111111111111 70.3333333333333
